"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","ART_ACC_R1","ART_ACC_R2","ART_ACC_R3","ART_ACC_R4","ART_ACC_R5","ART_ACC_R6","ART_ACC_R7","COMMER_R1","COMMER_R2","COMMER_R3","COMMER_R4","COMMER_R5","COMMER_R6","COMMER_R7","CONS_R1","CONS_R2","CONS_R3","CONS_R4","CONS_R5","CONS_R6","CONS_R7","EDU_R1","EDU_R2","EDU_R3","EDU_R4","EDU_R5","EDU_R6","EDU_R7","HS1_R1","HS1_R2","HS1_R3","HS1_R4","HS1_R5","HS1_R6","HS1_R7","HS2_R1","HS2_R2","HS2_R3","HS2_R4","HS2_R5","HS2_R6","HS2_R7","HEALTH_R1","HEALTH_R2","HEALTH_R3","HEALTH_R4","HEALTH_R5","HEALTH_R6","HEALTH_R7","MANU_R1","MANU_R2","MANU_R3","MANU_R4","MANU_R5","MANU_R6","MANU_R7","RELIG_R1","RELIG_R2","RELIG_R3","RELIG_R4","RELIG_R5","RELIG_R6","RELIG_R7","UTIL_R1","UTIL_R2","UTIL_R3","UTIL_R4","UTIL_R5","UTIL_R6","UTIL_R7"
"SLC","earthquake","sectorRegion_model","DFFD_ MANU_R1_L4","-0.406019471368741","0.00122305576213925","-0.000160018177305401","-4.84982713090253e-05","0","-6.80600980272588e-05","0","-0.000177163528733872","0.00171799336564748","-0.00015633724435195","-0.000122360875760202","-0.000191924538301222","-0.000153253027177511","-0.000246971784518971","-0.00064529363757003","0.0166059964447176","0","0","0","0","1.60890182081432e-05","0","0.00165563421454151","-0.000146469767345713","0","0","0","-0.00176400916053632","0","0.00286419121833837","-0.00117163358910621","-0.000532656826177595","-0.000982552804533023","-0.000689963723643459","-0.00132964069082269","-0.00401871430239397","0.00271333085649373","-0.00116206816256697","-0.000488002761944198","-0.000916037128024418","-0.000632463135481576","-0.00128237861171229","-0.0037978495372206","0.0315231652843825","-0.000114615279745667","0","-0.000111896796129891","-8.60394028728809e-05","-0.000114395158769968","-0.000217289318131738","-0.0307169513494129","0","0","0","-2.26574127163373e-05","0","0","0.0141016195854645","-7.6991910553372e-05","-0.000150950776973015","0","0","0","0","-0.00427913193212932","-4.4337798459739e-05","-1.22746771168535e-06","-0.000139355524903701","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ COMMER_R1_L1","2.39967439955805","0.0970974440271814","-0.00130705879771533","-0.00197412400746067","-0.00111011881378392","-0.00157987786264453","0.00124019797380368","0.0172075332185677","-0.0666141517809111","-0.00130340548821261","-0.00186635698637851","-0.00188439568955594","-0.00122645998511338","-0.00207177953931757","-0.00492986052752668","0.0567370738442021","0.00536374315591682","-0.00115900556210425","-0.0183451286353447","0","0.00170855185618429","-0.0553064285654346","-0.029182739026538","-0.00101179895244056","0.00160663746883568","-0.0137016429504905","0.00271062961843289","-0.00472906561826603","0.126140245328716","-0.0514424200363697","-0.00624737243161313","-0.00765964046349333","-0.00643862321100505","-0.00384119069801885","-0.00727408815316205","-0.0177051018491861","-0.050997924872753","-0.00642096126794569","-0.00729985388295748","-0.00621409219079191","-0.00361095266454987","-0.00712864964021307","-0.0169860423999875","0.182056736206354","-0.00114773015381317","-0.00130162881143667","-0.00168440435246967","-0.00180113013072885","-0.00130798493516041","-0.00411793128189391","0.00319077174517706","-0.0494845257560428","0.00020164125890191","-0.0188395739745886","-0.000429159300301488","-0.0028728570017696","-0.0621281931973907","0.0560084240550565","-0.00126907954916637","-0.000961571838882903","-0.00067703319368855","-0.000269905642581966","0.00131694163835501","-0.0212801018979633","-0.0193109956972728","-0.00124816157175581","-0.000970701860586234","-0.00580023678910341","0.000933905524946018","-0.000613998051746997","-0.176938309913992"
"SLC","earthquake","sectorRegion_model","DFFD_ COMMER_R1_L2","7.29600676308692","-0.0101784533306593","-0.00296385049820998","-0.00357158793166108","-0.00200571439029583","-0.0023833013011562","0.000706752584048362","0.00799220810961378","-0.132897220010984","-0.0029265983084356","-0.00414765137971285","-0.0033953202865736","-0.00227834144264433","-0.00342984823991628","-0.00695163230769872","0.129251924061036","0","-0.000183972969983791","0","0","0","0","-0.0531088084456987","-0.00187074374820048","0","-0.0137841549038937","0","0","0","-0.11810950849949","-0.0170706292373445","-0.0205416765588146","-0.0140831583550278","-0.00865937405131624","-0.0146626406863384","-0.0254172077705896","-0.116649539222166","-0.0173732137827758","-0.0198479402135067","-0.0136474323988422","-0.00839416015110273","-0.0139272087263286","-0.0239230639451237","0.344864820658684","-0.00248374352648659","-0.00128439543363378","-0.00297121478749339","-0.00306193378330039","-0.00164824299488758","-0.00274978853221438","0.0686913872683529","-0.0589519056663381","0","0","-0.000538482360627323","-0.00109216388046901","-0.0574428741022431","0.015442893466872","-0.00244574062755178","-0.00178451192320867","-0.00164525140774583","0","0","-0.0601783316097713","-0.0419668167610974","-0.00212749101386962","0","0","0","0","-0.161749021525354"
"SLC","earthquake","sectorRegion_model","DFFD_ COMMER_R1_L3","10.8106153768612","-0.0957713937467753","-0.00438212600033838","-0.00480399198444463","-0.00340399667932244","-0.00331963785846255","0.000528933087303579","0","-0.175525860615654","-0.00425707168474399","-0.00552752637981792","-0.00501243820350419","-0.00330841023707669","-0.00498350024911665","-0.0107665709587845","0.0651502506819971","0","-0.000221538126398124","0","0","0","0","-0.0893523383968088","-0.00254483608336261","0","-0.0169478943528192","0","0","0","-0.16209091428954","-0.024329076780616","-0.0249525734985622","-0.0195002797752045","-0.0119600899039898","-0.019438069792319","-0.0431747359088704","-0.159972455838304","-0.0247232980496202","-0.0241096969176773","-0.0188994492068394","-0.0116970628667949","-0.018364745614088","-0.0412455352571233","0.0945503271415823","-0.00351526516720498","-0.00126390191824068","-0.00418545165765163","-0.00418637012060505","-0.00240040594984128","-0.00359595696170797","0.044661806051922","-0.0907838208614884","0","0","-0.000778263111733669","-0.0027453859822064","-0.0501994521298306","0.00937749404202609","-0.00341418320589974","-0.00197128371256666","-0.0025261009446268","0","0","-0.0888462428055018","-0.0801925338607351","-0.00395663252381314","-0.000406935620702366","0","0","0","-0.194683881184067"
"SLC","earthquake","sectorRegion_model","DFFD_ COMMER_R1_L4","0.178858723900796","-0.00972219641705129","-0.000646950101373048","-0.000486589081125354","-0.000530942479784747","-0.000472724397990368","0","0","-0.0174664418636614","-0.000682245010898507","-0.000588776898230058","-0.000821507013551615","-0.000594943942779309","-0.000975554274811474","-0.00251149222463225","0.0745158122757267","0","-0.000811485164374564","0","0","0","0","0","-0.000630393925451072","0","-0.000906838166774742","0","-0.00239284581111417","0","-0.0128803321633374","-0.00366186631556384","-0.0015451469964139","-0.00299703058372919","-0.00217836813716364","-0.00420057642448418","-0.0130693079648554","-0.0125697169375336","-0.0036985676273929","-0.00143047922636965","-0.00290670369732217","-0.00210464593542386","-0.00416417528273695","-0.0129504532455224","0.088323164083235","-0.000543104637824283","-0.000127905771136257","-0.000670203973514431","-0.000748678814126924","-0.000817043215524254","-0.00153014235923641","0.00995651620521183","-0.0142196740585306","-0.000149761292650854","0","-0.000368916105164978","-0.000522727665030857","-0.00948893984563841","0.0378147859085524","-0.000606543674691134","-0.000350991623276306","0","-0.000328470033847017","0","-0.0119281459662128","-0.0171483479889696","-0.000409899758099567","0","-0.000135558958282393","0","0","-0.0300696394922686"
"SLC","earthquake","sectorRegion_model","DFFD_ EDU_R1_L1","-0.527797535025516","0.017896019190322","-0.00015941201733244","-0.000156790765406516","0","-4.54326219259014e-05","0","0","-0.00101870974194742","-0.000178340591476018","-0.000266608753301644","-0.000192122550579786","-0.000131046190254355","-0.000194527955246482","-0.000343103345637709","0.00981625506998042","0","-4.57387552638802e-05","0","0","0","0","-0.0843691520837864","-0.000109057497415156","0","0","0","0","0","-0.0146757556199433","-0.000558384647199025","-0.000740711176113164","-0.000572959961419623","-0.000331448506095295","-0.0006539495645672","-0.00158002076504922","-0.0145527563312644","-0.000556648311237365","-0.000690065863896532","-0.000524748029801191","-0.000246272327191652","-0.000578559357778022","-0.00142283919018904","0.0262619094668343","-6.35635796388223e-05","-0.000137119630062232","-0.000107809180322778","-0.000114555873873779","-5.12159790229475e-05","0","0.00504108973555628","0","0","0","-3.93901434267546e-05","0","-0.00133572684332756","0.011565232346525","-4.43951500951705e-05","-0.000127016631732223","0","0","0","0","-0.00701921641394167","-2.21407068282334e-07","0","0","0","-0.000270721421907695","0"
"SLC","earthquake","sectorRegion_model","DFFD_ EDU_R1_L2","-0.2311977220835","0.00876205598061348","-0.000282659825024547","-0.000309709642858293","-6.17645692800484e-05","-9.49112215330164e-05","0","0","-0.00211431562433045","-0.000294336995008331","-0.000427548900987407","-0.000276811499230475","-0.000193356543998895","-0.000267959054556183","-0.00039660044443794","0.0188998254496003","0","-0.000118332202237358","0","0","0","0","-0.121379729589978","-0.000179826840316159","0","0","0","0","0","-0.0221735798307997","-0.00122880981783979","-0.00155078771818743","-0.000969035385720185","-0.000587388008904707","-0.00100273773458665","-0.00157049579048464","-0.0220198243214191","-0.00123146756427672","-0.00150423522485919","-0.000926890000596186","-0.000516100783194961","-0.000924793393517388","-0.00146577959994472","0.0375111353061726","-0.000208684924615171","-0.000262365002307401","-0.000186750534284616","-0.000213125240996539","-0.00014596920145283","0","0.0123230909327123","0","0","0","-7.52242328734738e-05","0","-0.00255065339020573","0.00873051586712947","-0.000163511106889004","-0.000256276642339424","0","0","0","0","-0.0105532253780209","-8.18459098853894e-05","0","0","0","-0.000567493361421196","0"
"SLC","earthquake","sectorRegion_model","DFFD_ EDU_R1_L3","-0.409656812188802","0.00149085295870079","-0.00013399009862221","-7.80337531825352e-05","0","0","0","0","-0.00103848246582738","-0.0001430555156839","-0.000196276005286623","-0.000126666580379851","-8.67118852057278e-05","-0.000111508519658973","-0.000155545503398784","0.00404283257928823","0","0","0","0","0","0","-0.052015873636674","-6.23783429640225e-05","0","0","0","0","0","-0.010323976501826","-0.000617046834359632","-0.000650757999385405","-0.00047230712975819","-0.000283868983614126","-0.000463240746643069","-0.000988776364848791","-0.01019213580575","-0.000615287310477584","-0.000610901067256875","-0.000429338867220039","-0.000221527605931909","-0.000374772172976231","-0.000852838995455152","0.00618783508371658","-2.5363347269377e-05","0","-4.85903707303782e-05","-5.42893087331182e-05","0","0","0.00422858443877076","0","0","0","-7.32736405696136e-06","0","0","0.00354376650071084","-2.5449841923835e-06","-5.82231486654728e-05","0","0","0","0","-0.00535336582138774","-1.70047985753322e-07","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ EDU_R1_L4","-0.565417130926035","0.001017585917411","-5.83247547156293e-05","0","0","0","0","0","0.000125545546079881","-7.79494203962671e-05","-7.75636413153062e-05","-6.32756675695446e-05","-4.87990219735216e-05","-5.92610327036559e-05","-9.98814180772786e-05","0.00739367761958238","0","0","0","0","0","0","-0.0206999302277485","-3.95461207926357e-05","0","0","0","0","0","-0.00412828816699208","-0.000339905696370139","-0.000121114483441191","-0.000268381418459953","-0.000195594756941234","-0.000388937785281307","-0.0012436159749304","-0.00402072686880206","-0.000333590443945396","-8.3752992726373e-05","-0.000227541241995304","-0.000137891518146385","-0.000306454684870834","-0.00109472093730189","0.0104984855628053","0","0","0","-3.48362364644344e-07","0","0","0.00245438501393281","0","0","0","-8.60253640064657e-06","0","0","0.00554832326515534","0","-8.4711082384852e-06","0","0","0","0","-0.0031223615501391","0","0","0","0","0","0"
"SLC","earthquake","sectorRegion_model","DFFD_ HEALTH_R1_L1","-0.07667559604741","0.0102243482701485","-8.90381820007608e-05","0","0","0","-0.000630419433069068","0","0.000487140335107446","-8.10086987401553e-05","-0.000115742502913278","-0.00013027802466793","-9.00272581648076e-05","-0.000107589337115896","-1.77997605077315e-05","0.0109526603309712","-0.00255806793326814","-6.12299958816213e-05","0","0","0","0.0256183834409837","0.0071029519237034","-2.75589467778865e-05","0","0","-0.00126884163603682","0","0","-0.000355378152149523","-0.000655760073321304","-0.000664091741212181","-0.000622038373235477","-0.000391452457083552","-0.000699697046824319","-0.0017404221731361","-0.00029624476011935","-0.000670013134381483","-0.000721787056379733","-0.000575917168668548","-0.000350837152583529","-0.000426831343806094","-0.00128336326344382","-0.677648389804069","-7.1183290803879e-05","-8.11629166419336e-05","-5.0322636704302e-05","-9.77351574271252e-05","0","0","0.00477737800670538","0","0.000115024533939523","0","-8.52123763835905e-05","0","0","0.00700360447492021","-7.30031960683723e-05","0","-0.00020088927983432","0","-0.00236240257577601","0","0","0","-0.000426941500909008","0.000832786939284861","0","0.000898671209260821","-0.0063068561346731"
