"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L4WI","0.0122650310868545","0","-0.00274135760484606","0.0639361643613258","-0.0157328361292196","-0.0158142300490387","-0.0106114685061049","-8.95673605838872e-05","-0.00166216143696838","0.00109683791882521","0.00333841921040574","0.000594169232470687","0","0","-0.0036928097787963","-0.00014385816446145","-0.000866444291601366"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L2BI","-0.0983781668357493","0","0","0.0121480364100975","-0.00143286101155669","-0.0013407046345458","-0.00242216216673007","0","-8.11343867264667e-05","0","0.000101175381909222","0","0","0.000495632840291596","-0.000616647078444594","-1.38117979020067e-05","-0.000164565780776948"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L3BI","-0.103907364534175","0","0","0.002426129401842","-0.000286478888993577","-6.31180855362521e-05","-0.000430214489492582","0","0","0","0","0","0","0","-9.53687353236379e-05","-5.21445588769422e-06","-4.4509400427936e-05"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L4BI","-0.0448204875470421","0","0","0.000251151691527908","0","0","-5.24876078388191e-05","0","0","0","0","0","0","0","0","0","-4.61851198339864e-06"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L1HI","-0.0921577112621789","0","0","0.020273892775891","-0.00268704568424329","-0.00293873536867674","-0.0037347590097412","0","-0.000222809817018905","0","0.000115862095239022","0","5.00152457134734e-05","0.00209844447599621","-0.00119597011361364","-6.204873537726e-05","-0.000319498379421587"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L2HI","0.00270147250093407","0","-0.00747607678959296","0.0842216932549224","-0.0130207894892241","-0.014840974109507","-0.0147269109469347","-0.00118239834829047","-0.00162830146161222","-0.00056445317771205","0.000857685630611872","0","0","0.0116483323104943","-0.00535610878648971","-0.000301403503207061","-0.00131489828780226"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L3HI","0.218723636118417","0","-0.00745548902126066","0.155227750555387","-0.0241849804289863","-0.034731581309925","-0.0263295256277154","-0.0028904598179353","-0.00208908224425633","0.008961495313786","0.00856122190907384","0","0.000481965291074826","0.00023821917322962","-0.00987161358623745","-0.000528357294070987","-0.00237541887380776"
"Galveston","hurricane","sector_model","DFFD _ ICONS_L4HI","-0.0362504602739175","0","0","0.0553349134674996","-0.017884994623236","-0.00817051625925006","-0.00972568656552883","0","-0.00216756317133011","0","-0.000188736790269152","0.00242637016002496","0","0.000179130754194004","-0.0037556464971267","-0.000309469207860945","-0.00101354020891958"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L1WI","0.00164135522982154","0","0","-0.000201683682681041","0.0121850062156528","-0.000198157220524731","-0.000177990862469198","0","-7.57274306051436e-05","0","0","0","0","0.000352684762484326","0","-5.9281741805171e-06","-2.46807699689114e-05"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L2WI","-0.185683464134236","-6.76402481658796e-05","-0.000965329044830414","-0.00391624285818642","0.0847034888127472","-0.00640031217517148","-0.0012252672662708","-0.00104892323152231","-0.000920368236441445","0","0.000591642404385681","-0.000330277356463519","0.000148410272148298","-0.000124573444001045","-0.000376437769422149","-0.000131907123477456","-0.000226856140337593"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L3WI","-0.541396816493618","-0.0163165596480464","-0.00525671783603552","-0.0130216720614443","0.255188448668817","-0.0193010744843117","-0.00312323214085117","-0.0050934079159468","-0.00309751201081851","-0.0011016301352687","0.00397822019828134","-0.00141778513593034","0.000885558926640785","-0.00218832635220125","-0.00188188298458107","-0.000564793921334674","-0.000890887975275872"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L4WI","-0.63167056172743","-0.00785948441867166","-0.00809724251575902","-0.0154953904531334","0.285097176651911","-0.0274306319533635","-0.00272252967786922","-0.0047451442562733","-0.00418149815668908","0.00119948438589654","0.00464518416368397","-0.000300525533917189","0.00116781094725645","-0.00310108114568057","-0.00154622994775565","-0.000522037611126684","-0.000786570036884818"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L3BI","-0.141426554746997","0","-0.00103893911830547","-0.00191998974884021","0.0512854585563471","-0.00420003943265018","-0.000631475222605875","-0.00030912150172808","-0.000557641590834436","-1.25382140887078e-05","0.000242128846884112","0","0","-0.000445420751538857","-0.000347844368395508","-0.000127793993925879","-0.000212418924057194"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L4BI","-0.0320254331839146","0","0","-0.000274803026112493","0.0156416392552804","-0.000393808692932962","-0.000234500166767283","0","-0.000162112197060178","0","1.0600487403803e-05","0","0","-3.72727196988844e-05","-3.77125808343513e-05","-3.17945340151031e-05","-6.60122243461269e-05"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L1HI","0.00608846772792244","0","0","-0.000111359789395658","0.0102249997813747","-2.66271147082549e-05","-0.000141274998837002","0","-5.51352440993478e-05","0","0","0","0","0.000243100162867801","0","-5.93523888478206e-06","-2.47203555912399e-05"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L2HI","-0.123191531648913","0","-0.00196504801844133","-0.00271369001803382","0.0543044761132941","-0.0027676984301971","-0.000602249336705451","-0.000462893610680018","-0.000577593197078506","0","0","-4.98327188744764e-05","0","0.00203942374095865","-0.000231331873070138","-0.000102227836753257","-0.000169067475017186"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L3HI","-0.0927960678958228","0","-0.00098391997008191","-0.00290819074471146","0.0482116428357611","-0.00297248305645062","-0.000346938996359495","-0.000275927332608453","-0.000396988690375047","0.000749962261893481","0.000562567824389324","-1.62354338010288e-05","0","-0.000321797984175082","-0.000146450603455181","-7.96634419993089e-05","-0.000134430906766739"
