"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","main_model","totDY","2.65281512787966","0.182480308987898","-0.0103637901135179","0.0248448702840572","-0.148271197299297","-0.0980263097609756","-0.00712428216404191","0.0399138472462684","-0.00570295624896375","0.0703580386411182","0.233820357842105","0.0500788696138656","0.0291467812841344","0.034396617337212","-0.194155380240293","-0.0810883150473442","-0.103094976573059"
"Galveston","hurricane","sector_model","DY _ HH1WI","-0.0968019516948604","0","0","0","0","0","-1.86868852566145e-05","0","0","0","0","0","0","0","-9.1747491596999e-06","-1.14512424781562e-05","-3.17291541930996e-05"
"Galveston","hurricane","sector_model","DY _ HH2WI","-0.206491131117852","0","0","9.40536669847065e-06","-0.00014676710487237","0","-0.000649597429600231","0","-5.79781774902064e-05","0","0","0","0","-6.4446081563008e-05","-0.00206379566996178","-0.000756294633276759","-0.00104854483966119"
"Galveston","hurricane","sector_model","DY _ HH3WI","0.0357379644778197","0","-0.000926241959322569","0.000524831200409612","-0.00133845545322238","-0.00233023512491778","-0.00429761675225598","0","-0.000797395083326225","-0.000822271679516006","-0.00042553335047641","-0.000502329431347918","0","-0.000313975910906888","-0.0110039285767249","-0.00387970091937779","-0.00530898397102502"
"Galveston","hurricane","sector_model","DY _ HH4WI","0.532713060380225","0","0","0","-0.00256305595336994","0","-0.0135194106969381","0","-0.00190860348339644","-0.000710891360393491","0","0","0","0","-0.0565002365056173","-0.0196983356184964","-0.0272759141429311"
"Galveston","hurricane","sector_model","DY _ HH5WI","0.883054522882922","0","0","0","0","0","-0.00875473406276585","0","0","0","0","0","0","0","-0.106699753910373","-0.0363073702618595","-0.0508831689250884"
"Galveston","hurricane","sector_model","DY _ HH1BI","-0.0538073050578262","0","0","0","0","0","-1.43661583867065e-07","0","0","0","0","0","0","0","0","-3.47259705972995e-06","-6.46086456113538e-06"
"Galveston","hurricane","sector_model","DY _ HH2BI","-0.202755354313456","0","0","0","-9.37127053893002e-05","0","-0.000166506286892457","0","-1.93413535722078e-05","0","0","0","0","-0.000123759577392852","-0.000886415333473745","-0.000347965429655488","-0.000485198220433321"
"Galveston","hurricane","sector_model","DY _ HH3BI","-0.148315252568228","0","-0.000128381842151284","0","-0.000517481518490434","-0.000368073922830879","-0.00108875702828828","0","-0.000292054768212824","-9.79091657830867e-05","0.000182653893861705","-0.000124505929193546","0","-0.000359547480957635","-0.00351640614873599","-0.00127419882358187","-0.0017518370099349"
"Galveston","hurricane","sector_model","DY _ HH4BI","-0.359677120522131","0","0","0","-0.000463060485776958","0","-0.00131160665390929","0","-0.000290459196055329","0","0.000239579027897993","-0.000119570149155085","0","0","-0.00602007401527611","-0.00207983125058277","-0.00288483479896899"
"Galveston","hurricane","sector_model","DY _ HH5BI","-0.031422620862051","0","-0.00056605191838612","0","-0.00218143792784621","-0.00166017064327161","-0.000592361374775957","0","-0.000163256586657376","0.000513638413667769","0","0","0","9.42085811316531e-05","-0.0146611192051814","-0.00493306721653664","-0.00686255114126757"
"Galveston","hurricane","sector_model","DY _ HH1HI","-0.0468550881159827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.06711327257849e-06","-4.34834924134492e-06"
"Galveston","hurricane","sector_model","DY _ HH2HI","-0.201248741109871","0","0","4.8307860308522e-05","-2.73448308888768e-05","0","-0.000417830152093868","0","-7.92917828453699e-06","0","0","0","0","-0.000560361582466287","-0.00113768763167007","-0.00042927532426271","-0.000601711452637979"
"Galveston","hurricane","sector_model","DY _ HH3HI","-0.117565399602794","0","5.80640440421325e-06","0.001203068168543","-0.000847900017204894","-0.00121483762763226","-0.00228042252857583","0","-0.000458823129980157","-0.0010646146698173","0.000147395760184582","-7.23332156274441e-05","0","-0.00127804271929945","-0.00512402918766028","-0.00179496737898578","-0.00248781625545253"
"Galveston","hurricane","sector_model","DY _ HH4HI","0.118179679810848","0","-0.000712130411788417","0.0049688248484455","-0.00346901898501696","-0.00587381842207761","-0.00483916110321455","0","-0.00117616929168273","-0.00158942626302128","0.00266315214449572","-0.000648412777503305","0","-0.000981730665331449","-0.0178537328975795","-0.00598203374190552","-0.00833899421105807"
"Galveston","hurricane","sector_model","DY _ HH5HI","-0.114834552073954","0","0","0.000928654845521811","-0.000405119517589829","-0.00025923291502419","-0.000620412723101801","0","-4.31697226701076e-05","-0.000146006697608496","8.09829555736396e-05","0","0","0","-0.00629229000709745","-0.00212116898886497","-0.00297659774354888"
